-- Résultats attendus
1355 86.00 2.00
1360 84.05 2.00
1365 82.14 2.00
1370 80.28 2.00
1375 78.47 2.00
1380 76.70 0.00
1385 74.97 13.70
1390 73.29 27.02
1395 71.64 39.98
1400 70.04 52.58
1405 68.48 64.84
1410 66.95 76.76
1415 65.46 88.35
1420 64.01 99.63
1425 62.59 110.60
1430 61.21 121.27
1435 59.86 131.64
1440 58.54 141.73
1445 57.26 151.55
1450 56.01 161.10
1455 54.78 170.38
1460 53.59 179.41
1465 52.43 188.19
1470 51.29 196.73
1475 50.18 205.04
1480 49.10 213.12
1485 48.04 220.98
1490 47.01 228.63
1495 46.01 236.06
1500 45.03 243.29
1505 44.07 250.32
1510 43.14 257.16
1515 42.23 263.82
1520 41.34 270.29
1525 40.47 276.58
1530 39.62 282.70
1535 38.79 288.65
1540 37.99 294.44
1545 37.20 300.08
1550 36.43 305.55
1555 35.68 310.88
1560 34.95 316.06
1565 34.24 321.10
1570 33.54 326.00
1575 32.86 330.77
1580 32.19 335.40
1585 31.55 339.91
1590 30.91 344.30
1595 30.30 348.56
1600 29.69 352.71
1605 29.10 356.75
1610 28.53 360.67
1615 27.97 364.49
1620 27.42 368.20
1625 26.89 371.81
1630 26.37 375.32
1635 25.86 378.74
1640 25.36 382.06
1645 24.87 385.29
1650 24.40 388.43
1655 23.94 391.49
1660 23.49 394.46
1665 23.05 397.36
1670 22.61 400.17
1675 22.19 402.90
1680 21.78 405.56
1685 21.38 408.15
1690 20.99 410.67
1695 20.61 413.11
1700 20.24 415.49
1705 19.87 417.81
1710 19.52 420.06
1715 19.17 422.25
1720 18.83 424.38
1725 18.50 426.45
1730 18.18 428.47
1735 17.86 430.43
1740 17.55 432.33
1745 17.25 434.19
1750 16.95 435.99
1755 16.67 437.74
1760 16.39 439.45
1765 16.11 441.11
1770 15.84 442.72
1775 15.58 444.29
1780 15.32 445.82
1785 15.07 447.30
1790 14.83 448.74
1795 14.59 450.15
1800 14.36 451.51
1805 14.13 452.84
1810 13.91 454.13
1815 13.69 455.39
1820 13.48 456.61
1825 13.27 457.80
1830 13.07 458.96
1835 12.87 460.08
1840 12.67 461.18
1845 12.48 462.24
1850 12.30 463.27
1855 12.12 464.28
1860 11.94 465.26
1865 11.77 466.21
1870 11.60 467.14
1875 11.43 468.04
1880 11.27 468.91
1885 11.11 469.76
1890 10.96 470.59
1895 10.81 471.40
1900 10.66 472.18
1905 10.51 472.94
1910 10.37 473.68
1915 10.23 474.41
1920 10.10 475.11
1925 9.97 475.79
1930 9.84 476.45
1935 9.71 477.10
1940 9.59 477.72
1945 9.46 478.33
1950 9.35 478.93
1955 9.23 479.51
1960 9.12 480.07
1965 9.00 480.61
1970 8.90 481.14
1975 8.79 481.66
1980 8.68 482.16
1985 8.58 482.65
1990 8.48 483.13
1995 8.38 483.59
2000 8.29 484.04
2005 8.19 484.48
2010 8.10 484.90
2015 8.01 485.31
2020 7.92 485.72
2025 7.84 486.11
2030 7.75 486.49
2035 7.67 486.86
2040 7.59 487.22
2045 7.51 487.57
2050 7.43 487.91
2055 7.36 488.24
2060 7.28 488.56
2065 7.21 488.88
2070 7.14 489.18
2075 7.07 489.48
2080 7.00 489.77
2085 6.93 490.05
2090 6.86 490.32
2095 6.80 490.58
2100 6.73 490.84
2105 6.67 491.09
2110 6.61 491.34
2115 6.55 491.57
2120 6.49 491.81
2125 6.43 492.03
2130 6.38 492.25
2135 6.32 492.46
2140 6.26 492.67
2145 6.21 492.87
2150 6.16 493.06
2155 6.11 493.25
2160 6.06 493.44
2165 6.01 493.62
2170 5.96 493.79
2175 5.91 493.96
2180 5.86 494.13
2185 5.81 494.29
2190 5.77 494.45
2195 5.72 494.60
2200 5.68 494.75
2205 5.64 494.89
2210 5.59 495.03
2215 5.55 495.17
2220 5.51 495.30
2225 5.47 495.43
2230 5.43 495.55
2235 5.39 495.67
2240 5.35 495.79
2245 5.32 495.91
2250 5.28 496.02
2255 5.24 496.13
2260 5.21 496.24
2265 5.17 496.34
2270 5.14 496.44
2275 5.10 496.54
2280 5.07 496.63
2285 5.04 496.72
2290 5.00 496.81
2295 4.97 496.90
2300 4.94 496.99
2305 4.91 497.07
2310 4.88 497.15
2315 4.85 497.23
2320 4.82 497.30
2325 4.79 497.38
2330 4.76 497.45
2335 4.73 497.52
2340 4.70 497.59
2345 4.67 497.65
2350 4.65 497.72
2355 4.62 497.78
2360 4.59 497.84
2365 4.57 497.90
2370 4.54 497.96
2375 4.52 498.01
2380 4.49 498.07
2385 4.47 498.12
2390 4.44 498.17
2395 4.42 498.22
2400 4.39 498.27
2405 4.37 498.32
2410 4.35 498.36
2415 4.32 498.41
2420 4.30 498.45
2425 4.28 498.49
2430 4.26 498.54
2435 4.23 498.58
2440 4.21 498.61
2445 4.19 498.65
2450 4.17 498.69
2455 4.15 498.73
2460 4.13 498.76
2465 4.11 498.79
2470 4.09 498.83
2475 4.07 498.86
2480 4.05 498.89
2485 4.03 498.92
2490 4.01 498.95
2495 3.99 498.98
2500 3.97 499.01
2505 3.95 499.03
2510 3.93 499.06
2515 3.92 499.09
2520 3.90 499.11
2525 3.88 499.14
2530 3.86 499.16
2535 3.84 499.18
2540 3.83 499.21
2545 3.81 499.23
2550 3.79 499.25
2555 3.78 499.27
2560 3.76 499.29
2565 3.74 499.31
2570 3.73 499.33
2575 3.71 499.35
2580 3.69 499.36
2585 3.68 499.38
2590 3.66 499.40
2595 3.65 499.41
2600 3.63 499.43
2605 3.62 499.45
2610 3.60 499.46
2615 3.59 499.48
2620 3.57 499.49
2625 3.56 499.50
2630 3.54 499.52
2635 3.53 499.53
2640 3.51 499.54
2645 3.50 499.56
2650 3.48 499.57
2655 3.47 499.58
2660 3.45 499.59
2665 3.44 499.60
2670 3.43 499.61
2675 3.41 499.62
2680 3.40 499.63
2685 3.39 499.64
2690 3.37 499.65
2695 3.36 499.66
2700 3.35 499.67
2705 3.33 499.68
2710 3.32 499.69
2715 3.31 499.70
2720 3.29 499.71
2725 3.28 499.72
2730 3.27 499.72
2735 3.26 499.73
2740 3.24 499.74
2745 3.23 499.75
2750 3.22 499.75
2755 3.21 499.76
2760 3.19 499.77
2765 3.18 499.77
2770 3.17 499.78
2775 3.16 499.78
2780 3.15 499.79
2785 3.13 499.80
2790 3.12 499.80
2795 3.11 499.81
2800 3.10 499.81
2805 3.09 499.82
2810 3.08 499.82
2815 3.07 499.83
2820 3.05 499.83
2825 3.04 499.84
2830 3.03 499.84
2835 3.02 499.85
2840 3.01 499.85
2845 3.00 499.85
2850 2.99 499.86
2855 2.98 499.86
2860 2.97 499.87
2865 2.95 499.87
2870 2.94 499.87
2875 2.93 499.88
2880 2.92 499.88
2885 2.91 499.88
2890 2.90 499.89
2895 2.89 499.89
2900 2.88 499.89
2905 2.87 499.90
2910 2.86 499.90
2915 2.85 499.90
2920 2.84 499.90
2925 2.83 499.91
2930 2.82 499.91
2935 2.81 499.91
2940 2.80 499.91
2945 2.79 499.92
2950 2.78 499.92
2955 2.77 499.92
2960 2.76 499.92
2965 2.75 499.93
2970 2.74 499.93
2975 2.73 499.93
2980 2.72 499.93
2985 2.71 499.93
2990 2.70 499.93
2995 2.69 499.94
3000 2.68 499.94
3005 2.67 499.94
3010 2.67 499.94
3015 2.66 499.94
3020 2.65 499.94
3025 2.64 499.95
3030 2.63 499.95
3035 2.62 499.95
3040 2.61 499.95
3045 2.60 499.95
3050 2.59 499.95
3055 2.58 499.95
3060 2.57 499.96
3065 2.57 499.96
3070 2.56 499.96
3075 2.55 499.96
3080 2.54 499.96
3085 2.53 499.96
3090 2.52 499.96
3095 2.51 499.96
3100 2.50 499.96
3105 2.50 499.97
3110 2.49 499.97
3115 2.48 499.97
3120 2.47 499.97
3125 2.46 499.97
3130 2.45 499.97
3135 2.44 499.97
3140 2.44 499.97
3145 2.43 499.97
3150 2.42 499.97
3155 2.41 499.97
3160 2.40 499.97
3165 2.39 499.98
3170 2.39 499.98
3175 2.38 499.98
3180 2.37 499.98
3185 2.36 499.98
3190 2.35 499.98
3195 2.35 499.98
3200 2.34 499.98
3205 2.33 499.98
3210 2.32 499.98
3215 2.31 499.98
3220 2.31 499.98
3225 2.30 499.98
3230 2.29 499.98
3235 2.28 499.98
3240 2.28 499.98
3245 2.27 499.98
3250 2.26 499.98
3255 2.25 499.99
3260 2.24 499.99
3265 2.24 499.99
3270 2.23 499.99
3275 2.22 499.99
3280 2.21 499.99
3285 2.21 499.99
3290 2.20 499.99
3295 2.19 499.99
3300 2.18 499.99
3305 2.18 499.99
3310 2.17 499.99
3315 2.16 499.99
3320 2.16 499.99
3325 2.15 499.99
3330 2.14 499.99
3335 2.13 499.99
3340 2.13 499.99
3345 2.12 499.99
3350 2.11 499.99
3355 2.11 499.99
3360 2.10 499.99
3365 2.09 499.99
3370 2.08 499.99
3375 2.08 499.99
3380 2.07 499.99
3385 2.06 499.99
3390 2.06 499.99
3395 2.05 499.99
3400 2.04 499.99
3405 2.04 499.99
3410 2.03 499.99
3415 2.02 499.99
3420 2.02 499.99
3425 2.01 499.99
3430 2.00 499.99
3435 1.99 499.99
3440 1.99 499.99
3445 1.98 499.99
3450 1.97 499.99
3455 1.97 500.00
3460 1.96 500.00
3465 1.96 500.00
3470 1.95 500.00
3475 1.94 500.00
3480 1.94 500.00
3485 1.93 500.00
3490 1.92 500.00
3495 1.92 500.00
3500 1.91 500.00
3505 1.90 500.00
3510 1.90 500.00
3515 1.89 500.00
3520 1.88 500.00
3525 1.88 500.00
3530 1.87 500.00
3535 1.87 500.00
3540 1.86 500.00
3545 1.85 500.00
3550 1.85 500.00
3555 1.84 500.00
3560 1.83 500.00
3565 1.83 500.00
3570 1.82 500.00
3575 1.82 500.00
3580 1.81 500.00
3585 1.80 500.00
3590 1.80 500.00
3595 1.79 500.00
3600 1.79 500.00
3605 1.78 500.00
3610 1.77 500.00
3615 1.77 500.00
3620 1.76 500.00
3625 1.76 500.00
3630 1.75 500.00
3635 1.74 500.00
3640 1.74 500.00
3645 1.73 500.00
3650 1.73 500.00
3655 1.72 500.00
3660 1.72 500.00
3665 1.71 500.00
3670 1.70 500.00
3675 1.70 500.00
3680 1.69 500.00
3685 1.69 500.00
3690 1.68 500.00
3695 1.68 500.00
3700 1.67 500.00
3705 1.66 500.00
3710 1.66 500.00
3715 1.65 500.00
3720 1.65 500.00
3725 1.64 500.00
3730 1.64 500.00
3735 1.63 500.00
3740 1.63 500.00
3745 1.62 500.00
3750 1.62 500.00
3755 1.61 500.00
3760 1.60 500.00
3765 1.60 500.00
3770 1.59 500.00
3775 1.59 500.00
3780 1.58 500.00
3785 1.58 500.00
3790 1.57 500.00
3795 1.57 500.00
3800 1.56 500.00
3805 1.56 500.00
3810 1.55 500.00
3815 1.55 500.00
3820 1.54 500.00
3825 1.54 500.00
3830 1.53 500.00
3835 1.53 500.00
3840 1.52 500.00
3845 1.52 500.00

-- OFF STATE
3850 0.0 500.00
3855 0.0 500.00
3860 0.0 500.00
3865 0.0 500.00
3870 0.0 500.00
3875 0.0 500.00
3880 0.0 500.00
3885 0.0 500.00
3890 0.0 500.00
3895 0.0 500.00
3900 0.0 500.00
3905 0.0 500.00
3910 0.0 500.00
3915 0.0 500.00
3920 0.0 500.00
3925 0.0 500.00
3930 0.0 500.00
3935 0.0 500.00
3940 0.0 500.00
3945 0.0 500.00
3950 0.0 500.00
3955 0.0 500.00
3960 0.0 500.00
3965 0.0 500.00
3970 0.0 500.00
3975 0.0 500.00
3980 0.0 500.00
3985 0.0 500.00
3990 0.0 500.00
3995 0.0 500.00
4000 0.0 500.00
4005 0.0 500.00
4010 0.0 500.00
4015 0.0 500.00
4020 0.0 500.00
4025 0.0 500.00
4030 0.0 500.00
4035 0.0 500.00
4040 0.0 500.00
4045 0.0 500.00
4050 0.0 500.00
4055 0.0 500.00
4060 0.0 500.00
4065 0.0 500.00
4070 0.0 500.00
4075 0.0 500.00
4080 0.0 500.00
4085 0.0 500.00
4090 0.0 500.00
4095 0.0 500.00
4100 0.0 500.00
4105 0.0 500.00
4110 0.0 500.00
4115 0.0 500.00
4120 0.0 500.00
4125 0.0 500.00
4130 0.0 500.00
4135 0.0 500.00
4140 0.0 500.00
4145 0.0 500.00
4150 0.0 500.00
4155 0.0 500.00
4160 0.0 500.00
4165 0.0 500.00
4170 0.0 500.00
4175 0.0 500.00
4180 0.0 500.00
4185 0.0 500.00
4190 0.0 500.00
4195 0.0 500.00
4200 0.0 500.00
4205 0.0 500.00
4210 0.0 500.00
4215 0.0 500.00
4220 0.0 500.00
4225 0.0 500.00
4230 0.0 500.00
4235 0.0 500.00
4240 0.0 500.00
4245 0.0 500.00
4250 0.0 500.00
4255 0.0 500.00
4260 0.0 500.00
4265 0.0 500.00
4270 0.0 500.00
4275 0.0 500.00
4280 0.0 500.00
4285 0.0 500.00
4290 0.0 500.00
4295 0.0 500.00
4300 0.0 500.00
4305 0.0 500.00
4310 0.0 500.00
4315 0.0 500.00
4320 0.0 500.00
4325 0.0 500.00
4330 0.0 500.00
4335 0.0 500.00
4340 0.0 500.00
4345 0.0 500.00
